city,income
City1,1
City1,1
City1,1
City1,1
City1,1
City1,1
City1,1
City1,1
City1,1
City1,1
City1,1
City1,1
City1,1
City1,1
City1,1
City1,1
City1,1
City1,1
City1,1
City1,1
City1,1
City1,1
City1,1
City1,1
City1,1
City1,1
City1,1
City1,1
City1,1
City1,1
City1,1
City1,1
City1,1
City1,1
City1,1
City1,1
City1,1
City1,1
City1,1
City1,1
City1,1
City1,1
City1,1
City1,1
City1,1
City1,1
City1,1
City1,1
City1,1
City1,1
City1,1
City1,1
City1,1
City1,1
City1,1
City1,1
City1,1
City1,1
City1,1
City1,1
City1,1
City1,1
City1,1
City1,1
City1,1
City1,1
City1,1
City1,1
City1,1
City1,1
City1,2
City1,2
City1,2
City1,2
City1,2
City1,2
City1,2
City1,2
City1,2
City1,2
City1,2
City1,2
City1,2
City1,2
City1,2
City1,2
City1,2
City1,2
City1,2
City1,2
City1,2
City1,2
City1,2
City1,2
City1,2
City1,2
City1,2
City1,2
City1,2
City1,2
City1,2
City1,2
City1,2
City1,2
City1,2
City1,2
City1,2
City1,2
City1,2
City1,2
City1,2
City1,2
City1,2
City1,2
City1,2
City1,2
City1,2
City1,2
City1,2
City1,2
City1,2
City1,2
City1,3
City1,3
City1,3
City1,3
City1,3
City1,3
City1,3
City1,3
City1,3
City1,3
City1,3
City1,3
City1,3
City1,3
City1,3
City1,3
City1,3
City1,3
City1,3
City1,3
City1,3
City1,3
City1,3
City1,3
City1,3
City1,3
City1,3
City1,3
City1,3
City1,3
City1,3
City1,3
City1,3
City1,3
City1,3
City1,3
City1,3
City1,3
City1,3
City1,3
City1,3
City1,3
City1,3
City1,3
City1,3
City1,3
City1,3
City1,3
City1,3
City1,3
City1,3
City1,3
City1,3
City1,3
City1,3
City1,3
City1,3
City1,3
City1,3
City1,3
City1,3
City1,3
City1,3
City1,3
City1,3
City1,3
City1,3
City1,3
City1,3
City1,4
City1,4
City1,4
City1,4
City1,4
City1,4
City1,4
City1,4
City1,4
City1,4
City1,4
City1,4
City1,4
City1,4
City1,4
City1,4
City1,4
City1,4
City1,4
City1,4
City1,4
City1,4
City1,5
City1,5
City1,5
City1,5
City1,5
City1,5
City1,5
City1,5
City1,5
City1,5
City1,5
City1,5
City1,5
City1,5
City1,5
City1,5
City1,5
City1,5
City1,5
City1,5
City1,5
City1,5
City1,5
City1,5
City1,5
City1,5
City1,5
City1,5
City2,1
City2,1
City2,1
City2,1
City2,1
City2,1
City2,1
City2,1
City2,1
City2,1
City2,1
City2,1
City2,1
City2,1
City2,1
City2,1
City2,1
City2,1
City2,1
City2,1
City2,1
City2,1
City2,1
City2,1
City2,1
City2,1
City2,1
City2,1
City2,1
City2,1
City2,1
City2,1
City2,1
City2,1
City2,1
City2,1
City2,1
City2,1
City2,1
City2,1
City2,1
City2,1
City2,1
City2,1
City2,1
City2,1
City2,1
City2,1
City2,1
City2,1
City2,1
City2,1
City2,1
City2,1
City2,1
City2,1
City2,1
City2,1
City2,1
City2,1
City2,1
City2,1
City2,2
City2,2
City2,2
City2,2
City2,2
City2,2
City2,2
City2,2
City2,2
City2,2
City2,2
City2,2
City2,2
City2,2
City2,2
City2,2
City2,2
City2,2
City2,2
City2,2
City2,2
City2,2
City2,2
City2,2
City2,2
City2,2
City2,2
City2,2
City2,2
City2,2
City2,2
City2,2
City2,2
City2,2
City2,2
City2,2
City2,2
City2,2
City2,2
City2,2
City2,2
City2,2
City2,2
City2,2
City2,2
City2,2
City2,2
City2,2
City2,2
City2,2
City2,2
City2,2
City2,2
City2,2
City2,2
City2,2
City2,2
City2,2
City2,2
City2,2
City2,2
City2,2
City2,2
City2,3
City2,3
City2,3
City2,3
City2,3
City2,3
City2,3
City2,3
City2,3
City2,3
City2,3
City2,3
City2,3
City2,3
City2,3
City2,3
City2,3
City2,3
City2,3
City2,3
City2,3
City2,3
City2,3
City2,3
City2,3
City2,3
City2,3
City2,3
City2,3
City2,3
City2,3
City2,3
City2,3
City2,3
City2,3
City2,3
City2,3
City2,3
City2,3
City2,3
City2,3
City2,3
City2,3
City2,3
City2,3
City2,3
City2,3
City2,3
City2,3
City2,3
City2,4
City2,4
City2,4
City2,4
City2,4
City2,4
City2,4
City2,4
City2,4
City2,4
City2,4
City2,4
City2,4
City2,4
City2,4
City2,4
City2,4
City2,4
City2,4
City2,5
City2,5
City2,5
City2,5
City2,5
City2,5
City2,5
City2,5
City2,5
City2,5
City2,5
City2,5
City2,5
City2,5
City2,5
City2,5
City2,5
City2,5
City2,5
City2,5
City2,5
City2,5
City2,5
City2,5
